학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000003402,신탄진초등학교,초등학교,1908-09-01,공립,본교,운영,대전광역시 대덕구 석봉동 308-7,대전광역시 대덕구 석봉로3번길 50 (석봉동. 신탄진초등학교),7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2022-10-06,36.44898499,127.4225035,2023-03-22
B000002008,서울영림초등학교,초등학교,1982-10-04,공립,본교,운영,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14 . 서울영림초등학교 (대림동),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.48734601,126.9025393,2023-03-22
B000002469,서천초등학교,초등학교,1985-03-01,공립,본교,운영,부산광역시 사하구 감천동 506-1,부산광역시 사하구 감천로105번길 10 (감천동. 서천초등학교),7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2022-10-06,35.08874156,129.0038498,2023-03-22
B000002848,대구관천초등학교,초등학교,1993-09-01,공립,본교,운영,대구광역시 북구 태전동 999-2,대구광역시 북구 구암로22길 17 (태전동. 대구관천초등학교),7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2022-10-06,35.93053458,128.5520401,2023-03-22
B000003352,산내초등학교,초등학교,1920-06-20,공립,본교,운영,대전광역시 동구 낭월동 632,대전광역시 동구 산내로 1292 (낭월동. 산내초등학교),7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2022-10-06,36.27979819,127.470066,2023-03-22
B000002125,서울평화초등학교,초등학교,1992-10-21,공립,본교,운영,서울특별시 송파구 가락동 106,서울특별시 송파구 송파대로26길 22 . 서울평화초등학교 (가락동),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49156712,127.1228237,2023-03-22
B000003362,대전성남초등학교,초등학교,1952-04-15,공립,본교,운영,대전광역시 동구 성남동 193-5,대전광역시 동구 성남로32번길 5 (성남동. 대전성남초등학교),7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2022-10-06,36.34394433,127.4293687,2023-03-22
B000003292,진남초등학교,초등학교,2007-11-26,공립,본교,운영,광주광역시 남구 노대동 732,광주광역시 남구 효우로60번길 12 (노대동. 진남초등학교),7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2022-10-06,35.10912722,126.9024721,2023-03-22
B000008068,의귀초등학교,초등학교,1959-02-20,공립,본교,운영,제주특별자치도 서귀포시 남원읍 의귀리 1483-3,제주특별자치도 서귀포시 남원읍 한신로 213 (남원읍. 의귀초등학교),9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2013-11-29,2022-10-06,33.31111895,126.714628,2023-03-22
B000002721,기장초등학교,초등학교,1911-07-01,공립,본교,운영,부산광역시 기장군 기장읍 동부리 320,부산광역시 기장군 기장읍 읍내로 69 (기장읍. 기장초등학교),7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2022-10-06,35.24577217,129.2127656,2023-03-22
B000007661,칠산초등학교,초등학교,1945-03-01,공립,본교,운영,경상남도 김해시 화목동 773-1,경상남도 김해시 칠산로413번길 16-2 (화목동. 칠산초등학교),9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2022-10-06,35.21001649,128.8515415,2023-03-22
B000007938,북상초등학교,초등학교,1928-07-01,공립,본교,운영,경상남도 거창군 북상면 갈계리 1439-1,경상남도 거창군 북상면 송계로 731-18 (북상면. 북상초등학교),9010000,경상남도교육청,9211000,경상남도거창교육지원청,2013-11-29,2022-10-06,35.78009585,127.8170386,2023-03-22
B000002754,대구아양초등학교,초등학교,1958-04-07,공립,본교,운영,대구광역시 동구 신암동 1463,대구광역시 동구 아양로 221 (신암동),7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2022-10-06,35.88746268,128.6374338,2023-03-22
B000002213,서울양동초등학교,초등학교,1972-08-11,공립,본교,운영,서울특별시 양천구 신정동 941,서울특별시 양천구 오목로23길 24 (신정동),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.52584826,126.8512402,2023-03-22
B000002653,서감초등학교,초등학교,1984-03-30,공립,본교,운영,부산광역시 사상구 감전동 122-1,부산광역시 사상구 괘감로 64 . 서감초등학교 (감전동),7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2022-10-06,35.15782029,128.9820602,2023-03-22
B000003396,대전대화초등학교,초등학교,1982-10-18,공립,본교,운영,대전광역시 대덕구 대화동 244-5,대전광역시 대덕구 대화로 242-36 . 대전대화초등학교 (대화동),7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2022-10-06,36.36269221,127.4113441,2023-03-22
B000003430,가수원초등학교,초등학교,1946-10-26,공립,본교,운영,대전광역시 서구 가수원동 732-3,대전광역시 서구 벌곡로 1359 (가수원동. 가수원초등학교),7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2022-10-06,36.30239371,127.3530021,2023-03-22
B000001876,서울중화초등학교,초등학교,1946-11-07,공립,본교,운영,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22 . 서울중화초등학교 (신내동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.60292163,127.094065,2023-03-22
B000003476,대전하기초등학교,초등학교,2005-03-01,공립,본교,운영,대전광역시 유성구 하기동 514,대전광역시 유성구 송림로19번길 32 (하기동)대전하기초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2022-10-06,36.38863145,127.321529,2023-03-22
B000002058,서울상월초등학교,초등학교,1990-05-29,공립,본교,운영,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27 (상계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.65865224,127.05698,2023-03-22
B000001868,서울중목초등학교,초등학교,1997-11-04,공립,본교,운영,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665 . 서울중목초등학교 (면목동),7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2022-10-06,37.59008735,127.0793361,2023-03-22
B000005742,연봉초등학교,초등학교,1946-09-01,공립,본교,운영,세종특별자치시 연서면 봉암리 210-2,세종특별자치시 연서면 당산로 357-1 (연서면. 연봉초등학교),9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2022-10-06,36.56445274,127.2820714,2023-03-22
B000005745,연남초등학교,초등학교,1908-04-01,공립,본교,운영,세종특별자치시 연기면 연기리 397,세종특별자치시 연기면 연기길 2 (연기면. 연남초등학교),9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2022-10-06,36.54388083,127.277847,2023-03-22
B000005744,수왕초등학교,초등학교,1970-04-07,공립,본교,운영,세종특별자치시 연기면 눌왕리 324,세종특별자치시 연기면 눌왕길 8-45 (연기면. 수왕초등학교),9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2022-10-06,36.54347359,127.2522261,2023-03-22
B000007846,좌삼초등학교,초등학교,1946-09-20,공립,본교,운영,경상남도 양산시 상북면 좌삼리 493,경상남도 양산시 상북면 수서로 275-16 (상북면. 좌삼초등학교),9010000,경상남도교육청,9151000,경상남도양산교육지원청,2013-11-29,2022-10-06,35.44102579,129.0434678,2023-03-22
B000007805,유어초등학교,초등학교,1926-10-01,공립,본교,운영,경상남도 창녕군 유어면 부곡리 481,경상남도 창녕군 유어면 마수원길 39 (유어면. 유어초등학교),9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2013-11-29,2022-10-06,35.50944637,128.4110124,2023-03-22
